title,listing_type,url,rating,reviews,price
"Wellness CORE Sterilised Ocean, Dry Cat Food, Cat Food Dry for Sterilised Cats, Grain Free, High Meat Content, Salmon & Tuna, 1.75 kg",,/Wellness-CORE-Grain-Free-Sterilised-Salmon/dp/B01MRB9ITB/ref=sr_1_56?keywords=cat+food&qid=1660589953&sr=8-56,4.5 out of 5 stars,956,
Applaws 100% Natural Wet Cat Food 70g Tuna Fillet 24 x 70g Tins,,/Applaws-100-Natural-Food-Fillet/dp/B004VRM3B2/ref=sr_1_57?keywords=cat+food&qid=1660589953&sr=8-57,4.6 out of 5 stars,"1,261",
"IAMS for Vitality Senior dry cat food with chicken - dry food for senior cats from 7 years of age, 10kg",,/Vitality-Senior-Fresh-Chicken-Older/dp/B000VJU4V0/ref=sr_1_58?keywords=cat+food&qid=1660589953&rdc=1&sr=8-58,4.7 out of 5 stars,"3,077",£30.99
"Amazon Brand - Lifelong grainfree wet food for adult cats - Chicken,duck ,turkey and beef in jelly Selection, 4.76 kg (56 pouches x 85g)",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01705001QOQGLIJ0ZQZV&url=%2FAmazon-Brand-Lifelong-grainfree-Selection%2Fdp%2FB09587STPT%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26sr%3D8-59-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_btf,4.0 out of 5 stars,"5,520",£20.48
FENES 12 Packs Perle Cat Food with 6 X Chicken and 6 X Beef - Chef's Collection Mini Fillets in Gravy Pouches - 85gm – Plus Adults,Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A08672652568SEM8H2REA&url=%2FFENES-Packs-Perle-Food-Chicken%2Fdp%2FB09Z9L1JCX%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dcat%2Bfood%26qid%3D1660589953%26sr%3D8-60-spons%26psc%3D1&qualifier=1660589953&id=5302433050078379&widgetName=sp_btf,,,£19.99
"Pooch & Mutt - Health & Digestion, Complete Dry Dog Food (Grain Free), Salmon and Sweet Potato, 10kg",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A00223191FL0OIGJHF5JC&url=%2FPooch-Mutt-Complete-Digestion-Natural%2Fdp%2FB009P2ZDFG%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Ddog%2Bfood%26qid%3D1660589953%26sr%3D8-1-spons%26psc%3D1&qualifier=1660589953&id=5801287720741961&widgetName=sp_atf,4.7 out of 5 stars,366,
"Pooch & Mutt - Complete Adult Dry Dog Food (Grain Free), Superfood Blend, 1.5kg",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A101611034TQSX645PCD4&url=%2FPooch-Mutt-Complete-Adult-Superfood%2Fdp%2FB009IK5GXY%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Ddog%2Bfood%26qid%3D1660589953%26sr%3D8-2-spons%26psc%3D1&qualifier=1660589953&id=5801287720741961&widgetName=sp_atf,4.5 out of 5 stars,138,
"Pooch & Mutt - Complete Small Dog Dry Dog Food (Grain Free), Chicken & Superfood Blend, 7.5kg",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03264752ZZ6IC1QU5C40&url=%2FPooch-Mutt-Complete-Natural-Superfood%2Fdp%2FB009LGT9K6%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Ddog%2Bfood%26qid%3D1660589953%26sr%3D8-3-spons%26psc%3D1&qualifier=1660589953&id=5801287720741961&widgetName=sp_atf,4.7 out of 5 stars,92,£33.49
"Pooch & Mutt - Complete Small Dry Dog Food (Grain Free), Superfood Blend, 1.5kg",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A017697925107DT8IRYDL&url=%2FPooch-Mutt-Complete-Small-Superfood%2Fdp%2FB009IK5HLU%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Ddog%2Bfood%26qid%3D1660589953%26sr%3D8-4-spons%26psc%3D1&qualifier=1660589953&id=5801287720741961&widgetName=sp_atf,4.6 out of 5 stars,160,
"Morrisons Dog Food Meat Chunks In Jelly, 6 x 400 g",,/Morrisons-Food-Meat-Chunks-Jelly/dp/B08HLFWD3N/ref=sr_1_5_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-5,4.4 out of 5 stars,17,£4.31
"Morrisons Dog Food Meat Chunks In Gravy, 12 x 400 g",,/Morrisons-Food-Meat-Chunks-Gravy/dp/B08VPC4Z64/ref=sr_1_6_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-6,4.5 out of 5 stars,61,£8.75
Morrisons Dog Food Meat Loaf 12 x 400 g,,/Morrisons-Dog-Food-Meat-Loaf/dp/B091C5RMRY/ref=sr_1_7_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-7,4.4 out of 5 stars,66,£8.75
Morrisons Adult Dog Complete Food with Beef and Country Vegetables 3kg,,/Morrisons-Adult-Complete-Country-Vegetables/dp/B07VNT8S4G/ref=sr_1_8_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-8,4.5 out of 5 stars,95,£4.30
"Morrisons Senior Dog Food Meat Chunks In Jelly, 6 x 400 g",,/Morrisons-Senior-Food-Chunks-Jelly/dp/B08HHQZN2Y/ref=sr_1_9_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-9,4.5 out of 5 stars,68,£4.31
Harringtons Complete Dry Dog Food Lamb & Rice 12kg - Made with All Natural Ingredients,,/Harringtons-Complete-food-Lamb-Rice/dp/B08VQ7TDK9/ref=sr_1_10?keywords=dog+food&qid=1660589953&sr=8-10,4.6 out of 5 stars,"11,182",
Morrisons Worker Dog Food Meat Chunks In Gravy 24 x 400 g,,/Morrisons-Worker-Food-Chunks-Gravy/dp/B091BX6WKF/ref=sr_1_11_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-11,4.6 out of 5 stars,62,
Morrisons Dog Food Meat Chunks In Gravy 24 x 400 g,,/Morrisons-Food-Meat-Chunks-Gravy/dp/B08R1S4XYW/ref=sr_1_12_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-12,4.4 out of 5 stars,42,£16.25
Morrisons Mixed Dog Food In Gravy 40 x 100 g,,/Morrisons-Mixed-Dog-Food-Gravy/dp/B091C67167/ref=sr_1_13_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-13,5.0 out of 5 stars,4,£9.98
Winalot Perfect Portions Dog Food Mixed in Gravy 80 x 100 g,,/Winalot-Perfect-Portions-Food-Gravy/dp/B07MBBFSFH/ref=sr_1_14?keywords=dog+food&qid=1660589953&rdc=1&sr=8-14,4.7 out of 5 stars,"6,280",
Wagg Complete Kennel Chicken Dry Dog Food 15kg,,/Wagg-Chicken-Kennel-Complete-Food/dp/B00EMMHNMU/ref=sr_1_15?keywords=dog+food&qid=1660589953&rdc=1&sr=8-15,4.6 out of 5 stars,"6,050",
"Morrisons Dog Food Meat Chunks In Gravy, 2.4 g",,/Morrisons-Food-Meat-Chunks-Gravy/dp/B08KPXMNH7/ref=sr_1_16_f3_0o_morri?keywords=dog+food&qid=1660589953&sr=8-16,4.3 out of 5 stars,39,£4.31
"Amazon Brand - Lifelong - Complete Dry Dog Food with Salmon and Rice for Medium and Large Breeds, 5kg x 1 Pack",,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09492062I6HT9AUCKEGY&url=%2FAmazon-Brand-Lifelong-Complete-Salmon%2Fdp%2FB07HXHPB9R%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddog%2Bfood%26qid%3D1660589953%26rdc%3D1%26sr%3D8-17-spons%26psc%3D1&qualifier=1660589953&id=5801287720741961&widgetName=sp_mtf,4.4 out of 5 stars,"1,822",£14.64
"James Wellbeloved Complete Hypoallergenic Adult Dry Dog Food Made With 100% Natural Ingredients and One Source of Animal Protein (Turkey) and Vegetables, Grain-Free, 1.5 kg",Sponsored,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0962144ZI4TED0NQGS8&url=%2FJames-Wellbeloved-Complete-Turkey-Vegetable%2Fdp%2FB003670QA8%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Ddog%2Bfood%26qid%3D1660589953%26rdc%3D1%26sr%3D8-18-spons%26psc%3D1&qualifier=1660589953&id=5801287720741961&widgetName=sp_mtf,4.6 out of 5 stars,"1,363",
"Arden Grange Adult Large Breed Dry Dog Food with Fresh Chicken and Rice, 12 kg",,/Arden-Grange-Adult-Large-Chicken/dp/B009GDY8UU/ref=sr_1_19?keywords=dog+food&qid=1660589953&sr=8-19,4.7 out of 5 stars,"1,868",
